test_date,new_positive,issue_date
2022-04-25,0,2022-04-26
2022-04-24,311,2022-04-26
2022-04-23,1622,2022-04-26
2022-04-22,4227,2022-04-26
2022-04-21,4579,2022-04-26
2022-04-20,4855,2022-04-26
2022-04-19,5238,2022-04-26
2022-04-18,5732,2022-04-26
2022-04-17,1867,2022-04-26
2022-04-16,2327,2022-04-26
2022-04-15,3329,2022-04-26
2022-04-14,3516,2022-04-26
2022-04-13,3818,2022-04-26
2022-04-12,3931,2022-04-26
2022-04-11,4214,2022-04-26
2022-04-10,2082,2022-04-26
2022-04-09,1965,2022-04-26
2022-04-08,2847,2022-04-26
2022-04-07,2988,2022-04-26
2022-04-06,3333,2022-04-26
2022-04-05,3269,2022-04-26
2022-04-04,3713,2022-04-26
2022-04-03,1691,2022-04-26
2022-04-02,1629,2022-04-26
2022-04-01,2560,2022-04-26
2022-03-31,2403,2022-04-26
2022-03-30,2604,2022-04-26
2022-03-29,2698,2022-04-26
2022-03-28,2834,2022-04-26
2022-03-27,1515,2022-04-26
2022-03-26,1433,2022-04-26
2022-03-25,1980,2022-04-26
2022-03-24,2278,2022-04-26
2022-03-23,2236,2022-04-26
2022-03-22,3010,2022-04-26
2022-03-21,2687,2022-04-26
2022-03-20,1278,2022-04-26
2022-03-19,1227,2022-04-26
2022-03-18,1974,2022-04-26
2022-03-17,2293,2022-04-26
2022-03-16,2442,2022-04-26
2022-03-15,2604,2022-04-26
2022-03-14,2873,2022-04-26
2022-03-13,1265,2022-04-26
2022-03-12,1477,2022-04-26
2022-03-11,2291,2022-04-26
2022-03-10,2524,2022-04-26
2022-03-09,2997,2022-04-26
2022-03-08,3295,2022-04-26
2022-03-07,3872,2022-04-26
2022-03-06,1793,2022-04-26
2022-03-05,2049,2022-04-26
2022-03-04,3106,2022-04-26
2022-03-03,3561,2022-04-26
2022-03-02,3956,2022-04-26
2022-03-01,4652,2022-04-26
2022-02-28,5207,2022-04-26
2022-02-27,2368,2022-04-26
2022-02-26,2684,2022-04-26
2022-02-25,4773,2022-04-26
2022-02-24,5143,2022-04-26
2022-02-23,5581,2022-04-26
2022-02-22,7138,2022-04-26
2022-02-21,5321,2022-04-26
2022-02-20,3592,2022-04-26
2022-02-19,4175,2022-04-26
2022-02-18,7042,2022-04-26
2022-02-17,8077,2022-04-26
2022-02-16,9336,2022-04-26
2022-02-15,10788,2022-04-26
2022-02-14,12757,2022-04-26
2022-02-13,5514,2022-04-26
2022-02-12,7063,2022-04-26
2022-02-11,12801,2022-04-26
2022-02-10,14075,2022-04-26
2022-02-09,16061,2022-04-26
2022-02-08,17769,2022-04-26
2022-02-07,22251,2022-04-26
2022-02-06,9760,2022-04-26
2022-02-05,11622,2022-04-26
2022-02-04,21625,2022-04-26
2022-02-03,23784,2022-04-26
2022-02-02,27139,2022-04-26
2022-02-01,32498,2022-04-26
2022-01-31,38442,2022-04-26
2022-01-30,15459,2022-04-26
2022-01-29,20853,2022-04-26
2022-01-28,38639,2022-04-26
2022-01-27,44023,2022-04-26
2022-01-26,51769,2022-04-26
2022-01-25,59978,2022-04-26
2022-01-24,70424,2022-04-26
2022-01-23,28269,2022-04-26
2022-01-22,39797,2022-04-26
2022-01-21,77154,2022-04-26
2022-01-20,89653,2022-04-26
2022-01-19,100790,2022-04-26
2022-01-18,119406,2022-04-26
2022-01-17,81126,2022-04-26
2022-01-16,40113,2022-04-26
2022-01-15,58209,2022-04-26
2022-01-14,103636,2022-04-26
2022-01-13,113791,2022-04-26
2022-01-12,125926,2022-04-26
2022-01-11,134482,2022-04-26
2022-01-10,140757,2022-04-26
2022-01-09,55588,2022-04-26
2022-01-08,76515,2022-04-26
2022-01-07,134385,2022-04-26
2022-01-06,142595,2022-04-26
2022-01-05,154263,2022-04-26
2022-01-04,156037,2022-04-26
2022-01-03,139399,2022-04-26
2022-01-02,56370,2022-04-26
2022-01-01,32597,2022-04-26
2021-12-31,54497,2022-04-26
2021-12-30,85741,2022-04-26
2021-12-29,88299,2022-04-26
2021-12-28,88878,2022-04-26
2021-12-27,75555,2022-04-26
2021-12-26,35954,2022-04-26
2021-12-25,14843,2022-04-26
2021-12-24,22215,2022-04-26
2021-12-23,32424,2022-04-26
2021-12-22,31766,2022-04-26
2021-12-21,27196,2022-04-26
2021-12-20,23194,2022-04-26
2021-12-19,10794,2022-04-26
2021-12-18,9766,2022-04-26
2021-12-17,11165,2022-04-26
2021-12-16,10257,2022-04-26
2021-12-15,10154,2022-04-26
2021-12-14,8417,2022-04-26
2021-12-13,8970,2022-04-26
2021-12-12,4424,2022-04-26
2021-12-11,4256,2022-04-26
2021-12-10,5830,2022-04-26
2021-12-09,5842,2022-04-26
2021-12-08,6553,2022-04-26
2021-12-07,6620,2022-04-26
2021-12-06,7501,2022-04-26
2021-12-05,3917,2022-04-26
2021-12-04,4208,2022-04-26
2021-12-03,6218,2022-04-26
2021-12-02,6370,2022-04-26
2021-12-01,7567,2022-04-26
2021-11-30,7151,2022-04-26
2021-11-29,8356,2022-04-26
2021-11-28,4458,2022-04-26
2021-11-27,4280,2022-04-26
2021-11-26,4384,2022-04-26
2021-11-25,2315,2022-04-26
2021-11-24,4703,2022-04-26
2021-11-23,4863,2022-04-26
2021-11-22,5272,2022-04-26
2021-11-21,2973,2022-04-26
2021-11-20,3301,2022-04-26
2021-11-19,4624,2022-04-26
2021-11-18,4710,2022-04-26
2021-11-17,5177,2022-04-26
2021-11-16,5427,2022-04-26
2021-11-15,6440,2022-04-26
2021-11-14,3268,2022-04-26
2021-11-13,3462,2022-04-26
2021-11-12,5111,2022-04-26
2021-11-11,4340,2022-04-26
2021-11-10,5644,2022-04-26
2021-11-09,5905,2022-04-26
2021-11-08,6674,2022-04-26
2021-11-07,3483,2022-04-26
2021-11-06,3689,2022-04-26
2021-11-05,5544,2022-04-26
2021-11-04,6036,2022-04-26
2021-11-03,6436,2022-04-26
2021-11-02,6548,2022-04-26
2021-11-01,7442,2022-04-26
2021-10-31,3524,2022-04-26
2021-10-30,3957,2022-04-26
2021-10-29,5661,2022-04-26
2021-10-28,6099,2022-04-26
2021-10-27,6582,2022-04-26
2021-10-26,6815,2022-04-26
2021-10-25,7244,2022-04-26
2021-10-24,3591,2022-04-26
2021-10-23,4076,2022-04-26
2021-10-22,5990,2022-04-26
2021-10-21,5944,2022-04-26
2021-10-20,6266,2022-04-26
2021-10-19,6385,2022-04-26
2021-10-18,7084,2022-04-26
2021-10-17,3590,2022-04-26
2021-10-16,3656,2022-04-26
2021-10-15,5316,2022-04-26
2021-10-14,5306,2022-04-26
2021-10-13,5657,2022-04-26
2021-10-12,5815,2022-04-26
2021-10-11,5826,2022-04-26
2021-10-10,3310,2022-04-26
2021-10-09,3518,2022-04-26
2021-10-08,5185,2022-04-26
2021-10-07,5315,2022-04-26
2021-10-06,6021,2022-04-26
2021-10-05,6260,2022-04-26
2021-10-04,6795,2022-04-26
2021-10-03,3411,2022-04-26
2021-10-02,3700,2022-04-26
2021-10-01,5775,2022-04-26
2021-09-30,5799,2022-04-26
2021-09-29,6228,2022-04-26
2021-09-28,6774,2022-04-26
2021-09-27,7647,2022-04-26
2021-09-26,3766,2022-04-26
2021-09-25,4234,2022-04-26
2021-09-24,6175,2022-04-26
2021-09-23,6486,2022-04-26
2021-09-22,7400,2022-04-26
2021-09-21,7538,2022-04-26
2021-09-20,8854,2022-04-26
2021-09-19,4139,2022-04-26
2021-09-18,4922,2022-04-26
2021-09-17,7328,2022-04-26
2021-09-16,7866,2022-04-26
2021-09-15,8855,2022-04-26
