location,forecast_date,target,target_end_date,type,quantile,value
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.01,321.071720169049
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.025,333.4113981333542
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.05,344.51025461813475
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.1,357.29491535437285
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.15,363.6575070316855
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.2,371.3666753407266
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.25,378.52598716843596
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.3,383.70793954604835
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.35,388.4921790219652
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.4,393.07445480465054
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.45,397.8392726086655
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.5,402.5415764616711
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.55,407.365892205224
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.6,412.45520221025157
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.65,417.15888426474663
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.7,421.71042100995027
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.75,427.6932664621317
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.8,434.59729584219883
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.85,441.77375170055177
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.9,450.8066398669692
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.95,469.3421141477261
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.975,479.8706557746957
06,2021-03-08,1 day ahead inc hosp,2021-03-09,quantile,0.99,497.5473991040826
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.01,281.93689733824397
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.025,298.4017625401021
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.05,309.9820880315479
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.1,319.78450924336255
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.15,331.0151766628636
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.2,337.09125850774257
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.25,344.0287063703845
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.3,350.57396835228843
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.35,356.5637021858879
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.4,360.64577775936044
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.45,365.7389336117587
06,2021-03-08,2 day ahead inc hosp,2021-03-10,quantile,0.5,370.3182538741161
