location,forecast_date,target,target_end_date,type,quantile,value
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.01,357.39543813600307
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.025,381.2484212636481
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.05,405.2353339176231
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.1,424.92478166702887
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.15,443.6945997338198
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.2,457.9570039432547
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.25,470.41504538235176
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.3,481.1325042523022
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.35,490.0312884372624
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.4,501.07902430887185
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.45,513.6834873719367
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.5,523.6335756089435
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.55,533.6263832953707
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.6,548.3062318610951
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.65,561.8610579082377
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.7,572.0224055189359
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.75,586.1764197708961
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.8,600.7429350481599
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.85,617.9947355210123
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.9,646.3790297346413
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.95,677.8218793005643
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.975,720.8136537282072
06,2021-03-01,1 day ahead inc hosp,2021-03-02,quantile,0.99,793.4659892543834
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.01,313.6380324773156
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.025,335.03390750902946
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.05,353.39324653806324
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.1,374.72595384586134
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.15,390.28918141969524
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.2,404.83054288268795
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.25,415.5585049750581
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.3,424.39391088919893
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.35,434.60002299596766
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.4,444.7828201251094
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.45,454.01478628474314
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.5,464.86305896248814
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.55,474.6894704722639
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.6,483.88006158826386
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.65,491.68041818963366
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.7,504.54508821804745
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.75,515.1472525088059
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.8,527.9828068831487
06,2021-03-01,2 day ahead inc hosp,2021-03-03,quantile,0.85,541.3291328348739
