location,forecast_date,target,target_end_date,type,quantile,value
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.01,1295.4246461376881
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.025,1318.9001860736732
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.05,1355.3046041399011
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.1,1400.4596907942819
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.15,1437.567020715773
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.2,1458.1703448684455
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.25,1481.597108563365
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.3,1499.7647145416577
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.35,1519.4080178694223
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.4,1535.418009556417
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.45,1554.2523180162111
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.5,1571.8884369727616
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.55,1590.0293713647238
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.6,1608.6518630573134
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.65,1626.180824831661
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.7,1645.9850816345859
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.75,1662.8755865359667
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.8,1684.8764260463145
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.85,1718.903355208858
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.9,1757.0684352261492
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.95,1825.2791141507219
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.975,1871.1759042545439
06,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.99,1929.6387669463395
06,2020-12-07,2 day ahead inc hosp,2020-12-09,quantile,0.01,1185.8066569805665
06,2020-12-07,2 day ahead inc hosp,2020-12-09,quantile,0.025,1220.08999355843
