location,forecast_date,target,target_end_date,type,quantile,value
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.01,1721.4530570147638
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.025,1757.3122569596296
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.05,1796.5113946657257
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.1,1835.8014072079022
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.15,1870.9166533160992
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.2,1894.1512358655914
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.25,1918.6213209982682
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.3,1933.2391762300376
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.35,1953.1446763963684
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.4,1974.7246628012176
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.45,1995.5009511197823
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.5,2014.1440257140891
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.55,2031.1913096862318
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.6,2051.086458888916
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.65,2068.015998305775
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.7,2090.158218493851
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.75,2111.8635804779606
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.8,2139.1043386069796
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.85,2170.7885758239927
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.9,2214.923163592989
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.95,2267.8837222618854
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.975,2319.743100114259
06,2021-01-18,1 day ahead inc hosp,2021-01-19,quantile,0.99,2377.530744665888
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.01,1594.2967922602822
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.025,1652.4235872123484
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.05,1700.5014428757765
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.1,1749.1507772166092
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.15,1791.4333259124396
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.2,1822.0936430985923
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.25,1848.1338360254824
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.3,1870.9602519877014
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.35,1895.1634749029777
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.4,1923.8184613971607
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.45,1940.852296524677
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.5,1964.5592969777729
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.55,1982.0558716917967
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.6,2001.9387793025405
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.65,2031.5799683231924
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.7,2056.484484579849
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.75,2078.0188899395694
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.8,2107.5196631961667
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.85,2144.3169501779353
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.9,2192.5933789262485
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.95,2260.8644460973746
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.975,2318.4719686376648
06,2021-01-18,2 day ahead inc hosp,2021-01-20,quantile,0.99,2359.950249554741
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.01,1550.3694983908786
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.025,1595.094745061676
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.05,1654.1298912055381
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.1,1717.63213259463
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.15,1764.8361690890083
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.2,1804.1544279602774
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.25,1835.9938886687482
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.3,1866.195437628785
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.35,1896.2918464312227
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.4,1918.0351642747692
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.45,1943.3451723529874
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.5,1966.3425878495648
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.55,1992.6990797365659
06,2021-01-18,3 day ahead inc hosp,2021-01-21,quantile,0.6,2019.8618435875123
