location,forecast_date,target,target_end_date,type,quantile,value
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.01,168.76803476699484
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.025,183.28109007429293
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.05,195.5631409949652
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.1,207.35143663796103
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.15,216.82149843599856
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.2,224.51846136220766
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.25,231.092075469172
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.3,236.8857331674422
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.35,242.0414112965142
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.4,246.96738226315387
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.45,252.31828772019588
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.5,257.07499527902354
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.55,261.92211002113106
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.6,267.1413649531374
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.65,271.70853883016093
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.7,277.22739798016045
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.75,283.56525550489687
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.8,291.1115827649091
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.85,297.54894840497724
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.9,309.8920067221714
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.95,324.6347939813684
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.975,340.4911711211635
25,2020-12-07,1 day ahead inc hosp,2020-12-08,quantile,0.99,371.32736584561263
25,2020-12-07,2 day ahead inc hosp,2020-12-09,quantile,0.01,139.33207079486067
25,2020-12-07,2 day ahead inc hosp,2020-12-09,quantile,0.025,156.87093251113322
25,2020-12-07,2 day ahead inc hosp,2020-12-09,quantile,0.05,168.26046491937487
25,2020-12-07,2 day ahead inc hosp,2020-12-09,quantile,0.1,179.39599735174332
25,2020-12-07,2 day ahead inc hosp,2020-12-09,quantile,0.15,188.6007122411209
25,2020-12-07,2 day ahead inc hosp,2020-12-09,quantile,0.2,195.48166826989038
25,2020-12-07,2 day ahead inc hosp,2020-12-09,quantile,0.25,203.2348466340926
