location,forecast_date,target,target_end_date,type,quantile,value
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.01,203.42852781451296
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.025,212.16581349092638
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.05,222.06870392439112
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.1,232.49876364536073
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.15,241.57216454497117
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.2,248.92389977354927
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.25,255.28725061823116
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.3,260.13736736748945
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.35,265.6443685761171
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.4,270.69554889579183
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.45,275.012523955733
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.5,281.20377440562436
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.55,287.1088774659005
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.6,291.69666906433787
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.65,297.54416929060756
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.7,304.09992305657875
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.75,309.920133482515
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.8,317.9716715622897
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.85,325.17766343111725
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.9,335.36617190605864
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.95,354.8219310263926
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.975,368.823901568158
25,2020-12-21,1 day ahead inc hosp,2020-12-22,quantile,0.99,383.4349505557895
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.01,157.65730756281351
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.025,168.0707743441146
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.05,185.94689940537202
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.1,196.64268424921727
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.15,205.55700840825278
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.2,212.83700396729714
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.25,220.77807391409192
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.3,225.80171706479047
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.35,231.97275262176913
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.4,237.6478864788535
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.45,242.53318006702116
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.5,248.70547805510662
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.55,255.20019472564618
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.6,261.1441283190954
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.65,266.2957938935215
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.7,273.8437870364432
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.75,280.37852148944614
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.8,289.02278594902907
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.85,302.4736724321022
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.9,314.42905138716594
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.95,332.35815940541005
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.975,348.9994873744899
25,2020-12-21,2 day ahead inc hosp,2020-12-23,quantile,0.99,368.2870505198258
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.01,153.5087348963556
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.025,165.14062391914507
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.05,179.78520787260314
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.1,195.1316871154191
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.15,203.16059754125473
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.2,212.98280194623518
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.25,219.3881667204377
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.3,227.0265315314228
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.35,233.32155906424282
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.4,240.2128473743844
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.45,246.51030049765768
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.5,252.5160043296588
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.55,259.0574928629112
25,2020-12-21,3 day ahead inc hosp,2020-12-24,quantile,0.6,264.2014573052661
