location,forecast_date,target,target_end_date,type,quantile,value
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.01,50.619672479143254
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.025,55.19230974657308
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.05,57.64451399789222
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.1,60.9420452425066
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.15,64.13000505971138
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.2,66.27460427577581
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.25,68.64470303948208
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.3,70.79037582513354
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.35,72.70811826766517
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.4,74.09975277304281
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.45,75.61583277205459
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.5,77.97257168817862
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.55,80.40365297981593
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.6,82.18880118155968
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.65,83.94273806047896
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.7,86.42082397818061
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.75,89.08403826757713
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.8,91.61868758113015
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.85,95.15429340681024
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.9,98.91505928057728
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.95,106.00855786451832
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.975,111.95337641235227
25,2021-08-23,1 day ahead inc hosp,2021-08-24,quantile,0.99,122.19894485420888
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.01,46.754868198165234
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.025,51.701405734838055
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.05,55.12427543266397
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.1,59.5324486548109
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.15,62.82290115767285
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.2,65.50896896942673
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.25,68.12091472846518
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.3,70.27628090939531
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.35,72.21565892834622
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.4,74.37753001828844
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.45,75.88275740804731
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.5,78.04582519000382
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.55,79.95100837674049
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.6,81.75875851796765
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.65,83.63434503041182
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.7,86.7239255752872
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.75,89.11112622460851
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.8,92.92980855924897
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.85,96.31516030229058
25,2021-08-23,2 day ahead inc hosp,2021-08-25,quantile,0.9,100.75757282026188
